textual_description,label
"start entry fluent_plugin-airbrake-logger/0.1.0/fluent_plugin-airbrake-logger.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry catarse-paypal_express/3.0.2/catarse-paypal_express.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry jakewendt-simply_helpful/2.2.14/lib/jakewendt-simply_helpful.rb, no notable behavior, end of entry",0
"start entry smart_dump/0.1.0/smart_dump.gemspec, use operating system module call, use URL, end of entry",0
"start entry ncs_navigator_configuration/0.4.0/ncs_navigator_configuration.gemspec, use operating system module call, end of entry",0
"start entry yjcocoa/20.07.16/lib/yjcocoa.rb, import file system module, end of entry",0
"start entry pdf_form_filler/0.0.3/pdf_form_filler.gemspec, use operating system module call, use URL, end of entry",0
"start entry sciolyff/0.12.0/sciolyff.gemspec, use operating system module call, use URL, end of entry",0
"start entry dot-rake_tasks_in_rails/0.0.1/dot-rake_tasks_in_rails.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry ba-upload/0.1.0/ba-upload.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry alipay-global/0.0.6/alipay-global.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry capistrano3_drupal/0.0.1/capistrano3_drupal.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry tamashii-common/0.2.0/tamashii-common.gemspec, use operating system module call, use URL, end of entry",0
"start entry vagrant-orca/0.3.1/vagrant-orca.gemspec, use operating system module call, end of entry",0
"start entry json-mapping/0.1.0/json-mapping.gemspec, use operating system module call, use URL, end of entry",0
"start entry rack-svn/0.0.1/rack-svn.gemspec, use operating system module call, end of entry",0
"start entry sanderjd-bitch/0.1.1/lib/bitch.rb, no notable behavior, end of entry",0
"start entry ceedling_autorake/0.0.2/ceedling_autorake.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry active-admin_globalize3_locale_selector/0.0.1/active-admin_globalize3_locale_selector.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry ip-copy/1.0.7, no ruby file, end of entry",1
"start entry a1630ty-a1630ty/0.2.0/a1630ty-a1630ty.gemspec, use base64 string, use base64 string, end of entry",1
"start entry bgb/0.1.1/bgb.gemspec, use operating system module call, end of entry",0
"start entry tencentcloud-sdk-trdp/3.0.1094/lib/tencentcloud-sdk-trdp.rb, no notable behavior, end of entry",0
"start entry ngxlint/0.1.0/lib/ngxlint.rb, no notable behavior, end of entry",0
"start entry hiredis-rb/9001.0, no ruby file, end of entry",0
"start entry basketcase/1.1.0/lib/basketcase.rb, use operating system module call, use process module call, end of entry",0
"start entry rudra/1.1.6/lib/rudra.rb, import base64 module, use operating system module call, end of entry",0
"start entry peekbot/0.1.0/peekbot.rb, use operating system module call, use URL, end of entry",0
"start entry api-client_builder/1.2.0/api-client_builder.gemspec, use operating system module call, use URL, use base64 string, use base64 string, end of entry",1
"start entry ar-database_duplicator/0.0.2/ar-database_duplicator.gemspec, use base64 string, use base64 string, end of entry",1
"start entry acts-as_commentable_with_replies/0.1.0/acts-as_commentable_with_replies.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry gimme-vins/0.0.3/gimme-vins.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry lita_telegram-plus/0.1.2/lita_telegram-plus.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry ruboty-google_translate/0.1.0/ruboty-google_translate.gemspec, use operating system module call, use URL, end of entry",0
"start entry array_subindex/1.3.1/array_subindex.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry rack-add-pdf-headers-for-ie/0.1.0/rack-add-pdf-headers-for-ie.gemspec, use URL, use base64 string, use base64 string, end of entry",0
"start entry bq_coaster/0.2.2/bq_coaster.gemspec, use operating system module call, use URL, end of entry",0
"start entry ace_client-ext/0.0.11/ace_client-ext.gemspec, use base64 string, use base64 string, end of entry",1
"start entry clashinator/1.1.7/clashinator.gemspec, use operating system module call, use URL, end of entry",0
"start entry tji99_palindrome/0.1.0/tji99_palindrome.gemspec, use operating system module call, use URL, end of entry",0
"start entry js_message/0.0.2/js_message.gemspec, use operating system module call, use URL, end of entry",0
"start entry web-console/4.2.1/lib/web_console.rb, no notable behavior, end of entry",0
"start entry sleipnir-api/0.4.1/lib/sleipnir_api.rb, no notable behavior, end of entry",0
"start entry activerecord-nulldb-adapter/1.1.1/activerecord-nulldb-adapter.gemspec, use operating system module call, use URL, end of entry",0
"start entry active-merchant-mollie/0.1.1/active-merchant-mollie.gemspec, use operating system module call, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry syllabify/1.0.1/syllabify.gemspec, use operating system module call, use URL, end of entry",0
"start entry test_joska/1.3.25/test_joska.gemspec, use operating system module call, use URL, end of entry",0
"start entry akitaonrails-mygist/0.0.1/lib/mygist.rb, use URL, end of entry",0
"start entry drupal-fu/0.0.1/drupal-fu.gemspec, use operating system module call, use base64 string, use base64 string, end of entry",1
"start entry jeremydurham-integrity-campfire/1.0.2/lib/notifier/campfire.rb, no notable behavior, end of entry",0
"start entry adyen_ruby-api-library/4.0.2/adyen_ruby-api-library.gemspec, use URL, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry logstash-codec-avro-schema_registry/1.2.0/logstash-codec-avro-schema_registry.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry hide-asset_logs/1.0.0/hide-asset_logs.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry city-search/0.0.4/city-search.gemspec, use URL, use base64 string, use base64 string, end of entry",1
"start entry oat/0.6.1/oat.gemspec, use operating system module call, use URL, end of entry",0
